Time step, Pipe time, Rend time, Save time, Comp time
10, 3.2e-05, 0.217696, 0.023886, 1.21219
10, 0.000751, 0.475023, 0.024322, 1.16915
20, 0.001025, 0.192621, 0.023347, 0.004904
20, 0.001001, 0.191593, 0.024122, 0.004951
30, 0.001021, 0.1978, 0.023441, 0.00498
30, 0.001002, 0.150311, 0.016206, 0.025812
40, 0.000704, 0.120393, 0.015171, 0.061219
40, 0.000672, 0.12682, 0.016205, 0.06186
50, 0.000642, 0.120306, 0.015814, 0.059947
50, 0.000681, 0.12167, 0.016489, 0.059367
60, 0.000683, 0.120907, 0.0159, 0.056498
60, 0.000673, 0.120467, 0.015624, 0.057795
70, 0.00064, 0.121534, 0.015071, 0.067434
70, 0.000766, 0.119589, 0.016132, 0.058558
80, 0.000645, 0.120893, 0.015919, 0.06105
80, 0.000624, 0.121007, 0.015751, 0.054591
90, 0.000642, 0.118856, 0.015694, 0.061798
90, 0.000632, 0.126015, 0.015681, 0.053835
100, 0.000713, 0.121265, 0.015294, 0.06251
100, 0.000698, 0.118074, 0.015725, 0.061447
110, 0.000684, 0.123069, 0.016132, 0.059099
110, 0.000999, 0.191612, 0.017762, 0.004753
120, 0.000689, 0.122117, 0.015156, 0.058672
120, 0.000685, 0.122294, 0.015244, 0.056069
130, 0.000698, 0.120909, 0.015243, 0.063976
130, 0.001095, 0.199047, 0.015562, 0.004058
140, 0.001038, 0.193665, 0.020777, 0.004251
140, 0.000732, 0.13163, 0.015604, 0.052583
150, 0.000689, 0.1219, 0.015024, 0.064665
150, 0.000726, 0.127656, 0.015769, 0.055837
160, 0.000727, 0.121068, 0.015688, 0.065829
160, 0.000658, 0.125345, 0.01545, 0.05264
170, 0.000701, 0.122632, 0.014858, 0.059205
170, 0.000662, 0.125649, 0.015395, 0.05386
180, 0.000746, 0.120291, 0.015007, 0.062753
180, 0.000996, 0.192494, 0.024021, 0.004138
190, 0.001007, 0.155059, 0.015185, 0.027821
190, 0.000666, 0.121357, 0.015891, 0.049501
200, 0.000783, 0.120407, 0.015028, 0.053866
200, 0.000665, 0.118911, 0.015656, 0.060736
210, 0.000762, 0.121487, 0.015887, 0.027407
210, 0.000721, 0.126851, 0.015569, 0.003505
220, 0.000689, 0.121079, 0.01493, 0.052301
220, 0.000667, 0.121845, 0.01555, 0.058216
230, 0.000768, 0.117357, 0.016868, 0.060384
230, 0.00067, 0.128099, 0.015152, 0.052577
240, 0.000769, 0.12728, 0.016352, 0.052906
240, 0.000759, 0.118757, 0.015511, 0.062851
250, 0.000769, 0.121892, 0.015901, 0.052835
250, 0.000663, 0.122964, 0.015841, 0.058046
260, 0.000736, 0.094243, 0.014999, 0.060106
260, 0.000619, 0.099289, 0.015401, 0.081592
270, 0.000728, 0.09732, 0.015236, 0.084107
270, 0.000656, 0.093533, 0.01542, 0.076128
280, 0.000675, 0.098248, 0.015052, 0.041609
280, 0.000723, 0.102828, 0.015524, 0.070834
290, 0.000676, 0.098512, 0.015017, 0.07072
290, 0.000657, 0.15676, 0.024278, 0.010998
300, 0.001, 0.148313, 0.023458, 0.030684
310, 0.000985, 0.14878, 0.024045, 0.027991
320, 0.001029, 0.148277, 0.023435, 0.006103
330, 0.000596, 0.368106, 0.023874, 1.31274
340, 0.000976, 0.147547, 0.023366, 0.0364
350, 0.000973, 0.14896, 0.023346, 0.027681
360, 0.00098, 0.148392, 0.02338, 0.028854
370, 0.000984, 0.106857, 0.015283, 0.068416
380, 0.000652, 0.093745, 0.014842, 0.086869
390, 0.000647, 0.100191, 0.015142, 0.073984
400, 0.001162, 0.093054, 0.015464, 0.021734
410, 0.000687, 0.097527, 0.015752, 0.003642
420, 0.000699, 0.093016, 0.014878, 0.073522
430, 0.001024, 0.154158, 0.023363, 0.004714
440, 0.001006, 0.1475, 0.023397, 0.004755
450, 0.000991, 0.14806, 0.018306, 0.018293
460, 0.000668, 0.092184, 0.014882, 0.078334
470, 0.000736, 0.093686, 0.015099, 0.087394
480, 0.00063, 0.098713, 0.01532, 0.084348
490, 0.000986, 0.147095, 0.023374, 0.028641
500, 0.000997, 0.148268, 0.023326, 0.020427
510, 0.000982, 0.145858, 0.015783, 0.032398
520, 0.000668, 0.098936, 0.014935, 0.07995
530, 0.000713, 0.094182, 0.015975, 0.076731
540, 0.000742, 0.093488, 0.015104, 0.082148
550, 0.000663, 0.098994, 0.015165, 0.072357
560, 0.000713, 0.099166, 0.014995, 0.071805
570, 0.000662, 0.098059, 0.015537, 0.07687
580, 0.000619, 0.099693, 0.014938, 0.082788
590, 0.000616, 0.099745, 0.01507, 0.086181
610, 0.000741, 0.097522, 0.01495, 0.081358
620, 0.000677, 0.100409, 0.015425, 0.074133
630, 0.00066, 0.101121, 0.014767, 0.085102
640, 0.000587, 0.367726, 0.023747, 1.29528
650, 0.000948, 0.147345, 0.023332, 0.032677
660, 0.000953, 0.148207, 0.023353, 0.031112
670, 0.000949, 0.149099, 0.023459, 0.027165
680, 0.000949, 0.147836, 0.023438, 0.028479
690, 0.000954, 0.15541, 0.023396, 0.028124
700, 0.000948, 0.148603, 0.02343, 0.023874
710, 0.000953, 0.149199, 0.023447, 0.029318
720, 0.000957, 0.147857, 0.023422, 0.028064
730, 0.000974, 0.132094, 0.015131, 0.046485
740, 0.000639, 0.098348, 0.015306, 0.081851
750, 0.000718, 0.093679, 0.015771, 0.083926
760, 0.000599, 0.0939, 0.01573, 0.073462
770, 0.000639, 0.070908, 0.015461, 0.069204
780, 0.000696, 0.071985, 0.016378, 0.112752
790, 0.000708, 0.070688, 0.014857, 0.107079
800, 0.000635, 0.077296, 0.015033, 0.099253
810, 0.000601, 0.066223, 0.015078, 0.117388
820, 0.000631, 0.070739, 0.015855, 0.112034
830, 0.000594, 0.070714, 0.015204, 0.098171
840, 0.000634, 0.066229, 0.01594, 0.116061
850, 0.000592, 0.067904, 0.01494, 0.107122
860, 0.000691, 0.071339, 0.015357, 0.094373
870, 0.000637, 0.06989, 0.014979, 0.110139
880, 0.00064, 0.066475, 0.01507, 0.10731
890, 0.000933, 0.104892, 0.023456, 0.068582
910, 0.000933, 0.084803, 0.01507, 0.088763
920, 0.000631, 0.066901, 0.015013, 0.119816
930, 0.000685, 0.071835, 0.014943, 0.111313
940, 0.000603, 0.065531, 0.014686, 0.116047
950, 0.000571, 0.302512, 0.023719, 1.38168
960, 0.000939, 0.105315, 0.023333, 0.076651
970, 0.000943, 0.104461, 0.015473, 0.072777
980, 0.000935, 0.104529, 0.023339, 0.068157
990, 0.00093, 0.105112, 0.015792, 0.067261
1000, 0.000601, 0.06697, 0.015373, 0.115509
1010, 0.000629, 0.066616, 0.015868, 0.116114
1020, 0.000932, 0.102954, 0.015981, 0.068962
1030, 0.000937, 0.104303, 0.01509, 0.057302
1040, 0.000627, 0.067436, 0.015151, 0.113185
1050, 0.000933, 0.103805, 0.019523, 0.058494
1060, 0.000641, 0.066115, 0.015498, 0.113391
1070, 0.000624, 0.065946, 0.015403, 0.111031
1080, 0.000732, 0.067776, 0.015836, 0.110937
1090, 0.000627, 0.067221, 0.015095, 0.118782
1100, 0.000644, 0.06557, 0.01507, 0.111918
1110, 0.00058, 0.066329, 0.015097, 0.109503
1120, 0.000615, 0.067229, 0.015959, 0.047211
1130, 0.000624, 0.067451, 0.015444, 0.108214
1140, 0.000585, 0.066068, 0.015057, 0.115149
1150, 0.000586, 0.065365, 0.014968, 0.115249
1160, 0.000637, 0.065336, 0.014961, 0.119694
1170, 0.000676, 0.066909, 0.015185, 0.110925
1180, 0.000588, 0.064736, 0.014945, 0.110571
1190, 0.000937, 0.10463, 0.023401, 0.063026
1210, 0.000918, 0.104284, 0.014848, 0.068866
1220, 0.000959, 0.066922, 0.015034, 0.108355
1230, 0.000751, 0.067056, 0.015005, 0.096414
1240, 0.000694, 0.065209, 0.015002, 0.1019
1250, 0.000615, 0.067376, 0.014779, 0.072123
1260, 0.000698, 0.27495, 0.023765, 1.41599
1270, 0.000944, 0.103636, 0.023376, 0.074779
1280, 0.00094, 0.104431, 0.023378, 0.072255
1290, 0.000916, 0.104864, 0.015475, 0.078112
1300, 0.000569, 0.065547, 0.015182, 0.1167
1310, 0.000646, 0.066702, 0.01512, 0.115038
1320, 0.000668, 0.066863, 0.01562, 0.116228
1330, 0.000611, 0.065411, 0.015298, 0.111049
1340, 0.00092, 0.104029, 0.015236, 0.066466
1350, 0.000906, 0.104594, 0.023334, 0.072156
1360, 0.000899, 0.103531, 0.023469, 0.066666
1370, 0.000907, 0.099628, 0.015293, 0.061667
1380, 0.000666, 0.067134, 0.015647, 0.114302
1390, 0.000608, 0.064833, 0.015101, 0.116849
1400, 0.000613, 0.06699, 0.015475, 0.114223
1410, 0.000559, 0.067391, 0.015096, 0.114295
1420, 0.000605, 0.06555, 0.015248, 0.09603
1430, 0.000654, 0.067461, 0.015258, 0.108884
1440, 0.000601, 0.066172, 0.015727, 0.108473
1450, 0.000599, 0.066554, 0.015195, 0.116218
1460, 0.000564, 0.066087, 0.015025, 0.113212
1470, 0.000652, 0.065724, 0.015196, 0.108604
1480, 0.000677, 0.065626, 0.014902, 0.101884
1490, 0.000676, 0.068017, 0.015237, 0.108684
1510, 0.000566, 0.064759, 0.015662, 0.121698
1520, 0.000888, 0.104763, 0.016429, 0.068576
1530, 0.000603, 0.067635, 0.01535, 0.10701
1540, 0.000576, 0.067213, 0.015062, 0.103678
1550, 0.000663, 0.068022, 0.015241, 0.117381
1560, 0.000662, 0.067781, 0.014763, 0.110786
1570, 0.000542, 0.235049, 0.023802, 1.46438
1580, 0.000891, 0.103683, 0.023288, 0.07216
1590, 0.000888, 0.088856, 0.015919, 0.087161
1600, 0.000605, 0.066665, 0.015328, 0.117689
1610, 0.000646, 0.066927, 0.015292, 0.123487
1620, 0.000608, 0.070521, 0.015316, 0.115544
1630, 0.000559, 0.065931, 0.01598, 0.086815
1640, 0.000555, 0.065236, 0.01557, 0.120341
1650, 0.0006, 0.067346, 0.015502, 0.118869
1660, 0.000651, 0.039954, 0.015529, 0.141135
1670, 0.000643, 0.038341, 0.015079, 0.086506
1680, 0.00055, 0.039297, 0.015479, 0.132474
1690, 0.000878, 0.060724, 0.015183, 0.106465
1700, 0.000642, 0.040804, 0.015799, 0.142844
1710, 0.000599, 0.040033, 0.015061, 0.148374
1720, 0.000603, 0.038606, 0.01534, 0.143936
1730, 0.000639, 0.039172, 0.015125, 0.142355
1740, 0.000598, 0.039289, 0.016196, 0.143995
1750, 0.000643, 0.040517, 0.015157, 0.144095
1760, 0.000645, 0.039691, 0.016073, 0.142467
1770, 0.000605, 0.039363, 0.023335, 0.078993
1780, 0.000885, 0.068012, 0.023427, 0.06999
1790, 0.00088, 0.065332, 0.02337, 0.114809
1810, 0.000888, 0.060329, 0.015459, 0.118098
1810, 0.000546, 0.039369, 0.015288, 0.145444
1820, 0.000593, 0.039912, 0.015065, 0.142638
1820, 0.000654, 0.039853, 0.015493, 0.139157
1830, 0.000588, 0.039686, 0.015008, 0.140615
1830, 0.000629, 0.039226, 0.014945, 0.144776
1840, 0.000592, 0.039382, 0.015612, 0.142911
1840, 0.000576, 0.203695, 0.023806, 1.51349
1850, 0.000861, 0.0641, 0.023472, 0.112234
1850, 0.000865, 0.061513, 0.022825, 0.11549
1860, 0.000606, 0.037772, 0.015148, 0.14938
1860, 0.000579, 0.038924, 0.015543, 0.14692
1870, 0.000575, 0.039134, 0.015053, 0.138052
1870, 0.000627, 0.039109, 0.016582, 0.143082
1880, 0.000615, 0.03898, 0.015318, 0.147391
1880, 0.000868, 0.059899, 0.015494, 0.109562
1890, 0.000637, 0.041304, 0.015254, 0.144614
1890, 0.000578, 0.038094, 0.015954, 0.141348
1900, 0.000535, 0.038538, 0.015, 0.14242
1900, 0.000625, 0.038194, 0.015479, 0.137629
1910, 0.000576, 0.057198, 0.015369, 0.128936
1910, 0.000535, 0.037424, 0.015633, 0.148718
1920, 0.000609, 0.039759, 0.015542, 0.146897
1920, 0.000588, 0.038992, 0.015789, 0.075678
1930, 0.000624, 0.039241, 0.015021, 0.142479
1930, 0.000573, 0.038674, 0.015789, 0.144911
1940, 0.000533, 0.037965, 0.015827, 0.146693
1940, 0.000579, 0.038466, 0.016081, 0.150015
1950, 0.000535, 0.038191, 0.015099, 0.140296
1950, 0.000858, 0.059524, 0.015818, 0.117376
1960, 0.000532, 0.037966, 0.014768, 0.140245
1960, 0.000534, 0.037777, 0.015413, 0.07786
1970, 0.000608, 0.038161, 0.015072, 0.147217
1970, 0.000856, 0.059675, 0.023977, 0.112451
1980, 0.000579, 0.039068, 0.015193, 0.140311
1980, 0.000854, 0.059586, 0.023997, 0.108818
1990, 0.00086, 0.038451, 0.014897, 0.131154
1990, 0.000529, 0.039237, 0.01543, 0.138035
2000, 0.00053, 0.037937, 0.014839, 0.139534
2000, 0.000566, 0.037887, 0.015434, 0.138115
2010, 0.000616, 0.037751, 0.014806, 0.140134
2010, 0.000533, 0.037828, 0.015248, 0.141676
2020, 0.000573, 0.037553, 0.014786, 0.141013
2020, 0.000662, 0.037872, 0.015409, 0.144313
2030, 0.00059, 0.039351, 0.014792, 0.143146
2030, 0.00053, 0.037908, 0.015372, 0.139365
2040, 0.000626, 0.038576, 0.014896, 0.145121
2040, 0.000848, 0.059679, 0.024008, 0.115934
2050, 0.000852, 0.043332, 0.014926, 0.12594
2050, 0.000573, 0.038579, 0.024029, 0.138362
2060, 0.000849, 0.053191, 0.015094, 0.088575
2060, 0.000631, 0.037853, 0.015224, 0.137566
2070, 0.000532, 0.0377, 0.015044, 0.072623
2070, 0.000574, 0.037854, 0.01529, 0.135527
2080, 0.000527, 0.010712, 0.015027, 0.168461
2080, 0.000523, 0.010731, 0.015548, 0.166772
2090, 0.000574, 0.010721, 0.015078, 0.172344
2090, 0.000528, 0.010693, 0.015192, 0.162048
2100, 0.00084, 0.01659, 0.014729, 0.150815
2110, 0.000526, 0.010703, 0.015241, 0.167865
2110, 0.00062, 0.010775, 0.015121, 0.178206
2120, 0.000619, 0.012145, 0.015588, 0.166106
2120, 0.000567, 0.011509, 0.015603, 0.170999
2130, 0.000525, 0.011062, 0.015667, 0.16591
2130, 0.000522, 0.010726, 0.014921, 0.165539
2140, 0.000525, 0.010725, 0.016504, 0.168431
2140, 0.000564, 0.011399, 0.015987, 0.108422
2150, 0.000519, 0.194357, 0.023746, 1.50718
2150, 0.000842, 0.016732, 0.023276, 0.159125
2160, 0.000837, 0.025145, 0.024044, 0.151891
2160, 0.00084, 0.016619, 0.023283, 0.164092
2170, 0.000523, 0.0107, 0.015904, 0.171736
2170, 0.000521, 0.011212, 0.015117, 0.171562
2180, 0.000563, 0.011469, 0.024053, 0.171036
2180, 0.000841, 0.016581, 0.014964, 0.163933
2190, 0.000528, 0.010887, 0.016397, 0.173012
2190, 0.000559, 0.011159, 0.015088, 0.176005
2200, 0.000526, 0.010916, 0.016603, 0.173601
2200, 0.000615, 0.011146, 0.015197, 0.171925
2210, 0.000571, 0.011334, 0.015722, 0.168674
2210, 0.000625, 0.011079, 0.015133, 0.166279
2220, 0.000572, 0.01137, 0.024052, 0.16839
2220, 0.000547, 0.010833, 0.015644, 0.169987
2230, 0.000528, 0.010668, 0.015503, 0.165183
2230, 0.000531, 0.010962, 0.015458, 0.175281
2240, 0.000563, 0.011063, 0.015661, 0.168144
2240, 0.000628, 0.011362, 0.015538, 0.17369
2250, 0.000613, 0.012319, 0.016043, 0.173994
2250, 0.000612, 0.011659, 0.015303, 0.1734
2260, 0.000552, 0.010981, 0.015889, 0.173451
2260, 0.000561, 0.011531, 0.016407, 0.171202
2270, 0.000578, 0.01101, 0.017206, 0.168206
2270, 0.000624, 0.011013, 0.015071, 0.172932
2280, 0.000841, 0.016593, 0.018549, 0.150854
2280, 0.000633, 0.021352, 0.015344, 0.168937
2290, 0.000567, 0.011246, 0.01692, 0.170889
2290, 0.000566, 0.011776, 0.015772, 0.172629
2300, 0.000629, 0.011324, 0.140174, 0.130151
2300, 0.000845, 0.016774, 0.023315, 0.007178
2310, 0.000838, 0.016525, 0.016359, 0.158431
2310, 0.000618, 0.012335, 0.015787, 0.162609
2320, 0.000612, 0.011638, 0.01579, 0.169004
2320, 0.000845, 0.016619, 0.015372, 0.156991
2330, 0.000847, 0.011461, 0.016677, 0.161874
2330, 0.000627, 0.011394, 0.016145, 0.177349
2340, 0.000526, 0.01954, 0.016032, 0.163719
2340, 0.000522, 0.011596, 0.016922, 0.143715
2350, 0.000651, 0.011581, 0.01639, 0.12454
2350, 0.000606, 0.011763, 0.016319, 0.167863
2360, 0.000614, 0.023971, 0.016614, 0.157136
2360, 0.000615, 0.011545, 0.016028, 0.17014
2370, 0.000841, 0.016654, 0.02401, 0.158526
2370, 0.000839, 0.019792, 0.015767, 0.154392
2380, 0.000578, 0.012026, 0.016936, 0.173802
2380, 0.000642, 0.011754, 0.016385, 0.171887
2390, 0.000876, 0.016651, 0.023994, 0.158046
2390, 0.000868, 0.019228, 0.01601, 0.161333
2400, 0.000611, 0.012006, 0.017531, 0.171945
2410, 0.000646, 0.011793, 0.01582, 0.175949
2420, 0.000841, 0.016671, 0.016585, 0.093523
2430, 0.00061, 0.011688, 0.015973, 0.16684
2440, 0.000646, 0.023901, 0.024026, 0.158591
2450, 0.000868, 0.013235, 0.016245, 0.161837
2460, 0.000612, 0.022952, 0.024024, 0.153113
2470, 0.000653, 0.012283, 0.016164, 0.115822
2480, 0.000875, 0.02281, 0.016627, 0.135457
2490, 0.00065, 0.011661, 0.01666, 0.123102
2500, 0.000566, 0.202219, 0.025229, 1.44833
2510, 0.000837, 0.016677, 0.023315, 0.163374
2520, 0.000858, 0.016747, 0.023338, 0.159225
2530, 0.000855, 0.016634, 0.023282, 0.163462
2540, 0.00085, 0.016624, 0.016031, 0.16304
2550, 0.000857, 0.016777, 0.023276, 0.170486
2560, 0.000524, 0.02305, 0.017542, 0.163406
2570, 0.000564, 0.011962, 0.016304, 0.15503
2580, 0.000574, 0.011347, 0.015869, 0.164634
2590, 0.000845, 0.016684, 0.016076, 0.158516
2600, 0.00084, 0.023861, 0.023313, 0.143949
2610, 0.000854, 0.016595, 0.016439, 0.164884
2620, 0.000526, 0.011439, 0.016596, 0.173354
2630, 0.000563, 0.011548, 0.015926, 0.169414
2640, 0.000562, 0.02351, 0.016101, 0.164399
2650, 0.000842, 0.016674, 0.023291, 0.147035
2660, 0.000837, 0.016755, 0.023329, 0.122463
2670, 0.000848, 0.016536, 0.015833, 0.132591
2680, 0.000608, 0.012261, 0.016401, 0.163758
2690, 0.000604, 0.012083, 0.01631, 0.173693
2710, 0.000562, 0.019829, 0.015844, 0.157129
2720, 0.000637, 0.011678, 0.015744, 0.160849
2730, 0.000563, 0.011701, 0.016911, 0.178436
2740, 0.000841, 0.020552, 0.015477, 0.146556
2750, 0.000644, 0.011821, 0.016508, 0.168578
2760, 0.000524, 0.011459, 0.016383, 0.153522
2770, 0.000613, 0.012474, 0.016002, 0.168064
2780, 0.000523, 0.010919, 0.015967, 0.166034
2790, 0.000844, 0.016889, 0.023335, 0.094036
2800, 0.000842, 0.016618, 0.016869, 0.159755
2810, 0.000612, 0.180928, 0.023716, 1.49837
2820, 0.000842, 0.016669, 0.023288, 0.154193
2830, 0.000838, 0.016603, 0.015374, 0.163228
2840, 0.000523, 0.011157, 0.015569, 0.169288
2850, 0.000526, 0.010791, 0.015126, 0.175447
2860, 0.000565, 0.011215, 0.015471, 0.172143
2870, 0.000541, 0.010791, 0.015459, 0.003574
2880, 0.000524, 0.010708, 0.015901, 0.129506
2890, 0.000524, 0.01111, 0.014982, 0.151289
2900, 0.000612, 0.011481, 0.016355, 0.169977
2910, 0.000526, 0.010959, 0.015169, 0.173185
2920, 0.00057, 0.010876, 0.01493, 0.162317
2930, 0.000567, 0.011839, 0.015283, 0.17813
2940, 0.000524, 0.010684, 0.015299, 0.16533
2950, 0.000564, 0.011449, 0.015609, 0.171548
2960, 0.000544, 0.010889, 0.015208, 0.179734
2970, 0.000613, 0.011374, 0.015582, 0.175431
2980, 0.000841, 0.016635, 0.01547, 0.154329
2990, 0.000523, 0.011153, 0.015435, 0.143715
3010, 0.000543, 0.010877, 0.015391, 0.176343
3020, 0.000552, 0.011037, 0.015567, 0.176651
3030, 0.000562, 0.011095, 0.01511, 0.172082
3040, 0.000523, 0.01075, 0.01525, 0.160765
3050, 0.000525, 0.011166, 0.015533, 0.180489
3060, 0.000563, 0.010833, 0.015337, 0.176392
3070, 0.00062, 0.011191, 0.015184, 0.166947
3080, 0.000562, 0.010797, 0.016901, 0.169195
3090, 0.000562, 0.010694, 0.015236, 0.173274
3100, 0.00061, 0.011359, 0.015164, 0.164212
3110, 0.000892, 0.011695, 0.015628, 0.163957
3120, 0.000521, 0.19376, 0.025537, 1.47014
3130, 0.000845, 0.017098, 0.023463, 0.163381
3140, 0.000843, 0.017068, 0.023463, 0.162081
3150, 0.000847, 0.016958, 0.015298, 0.163834
3160, 0.000617, 0.011277, 0.015273, 0.178411
3170, 0.00053, 0.025659, 0.023409, 0.160736
3180, 0.000631, 0.011066, 0.015395, 0.175518
3190, 0.000538, 0.011702, 0.016068, 0.179998
3200, 0.000634, 0.018611, 0.015749, 0.160524
3210, 0.000565, 0.011694, 0.01584, 0.172681
3220, 0.000524, 0.011092, 0.015961, 0.173911
3230, 0.000522, 0.011179, 0.016065, 0.172443
3240, 0.000842, 0.016705, 0.023352, 0.152022
3250, 0.000558, 0.011462, 0.016254, 0.167673
3260, 0.000634, 0.011724, 0.015332, 0.170524
3270, 0.000849, 0.017849, 0.023361, 0.15419
3280, 0.000842, 0.016633, 0.023296, 0.164289
3290, 0.000841, 0.016498, 0.023334, 0.161115
3310, 0.000841, 0.016576, 0.023329, 0.15476
3320, 0.000558, 0.011346, 0.016469, 0.166119
3330, 0.000638, 0.010842, 0.01566, 0.164571
3340, 0.000633, 0.012272, 0.016415, 0.167158
3350, 0.000525, 0.011239, 0.015452, 0.168125
3360, 0.000561, 0.011591, 0.016354, 0.14913
3370, 0.000634, 0.011206, 0.015012, 0.164213
3380, 0.000526, 0.011615, 0.015531, 0.17297
3390, 0.000566, 0.011337, 0.015557, 0.166434
3400, 0.000527, 0.01131, 0.015915, 0.157902
3410, 0.00059, 0.011092, 0.015963, 0.175625
3420, 0.000524, 0.011199, 0.015328, 0.170099
3430, 0.000519, 0.188252, 0.023745, 1.46112
3440, 0.00084, 0.016733, 0.023288, 0.158006
3450, 0.000848, 0.016632, 0.015603, 0.160452
3460, 0.000844, 0.016803, 0.023397, 0.153082
3470, 0.000847, 0.016653, 0.023329, 0.159576
3480, 0.000842, 0.016034, 0.015965, 0.17102
3490, 0.000613, 0.011326, 0.01547, 0.167139
3500, 0.000842, 0.016788, 0.023307, 0.155247
3510, 0.000841, 0.016668, 0.015941, 0.160287
3520, 0.000595, 0.011326, 0.015595, 0.167719
3530, 0.000841, 0.016701, 0.016815, 0.159889
3540, 0.000527, 0.011163, 0.016084, 0.1703
3550, 0.000634, 0.011217, 0.015921, 0.168083
3560, 0.000524, 0.023607, 0.023393, 0.158056
3570, 0.000847, 0.012235, 0.016155, 0.164353
3580, 0.00085, 0.016595, 0.021223, 0.152104
3590, 0.000849, 0.016677, 0.023381, 0.158903
4210, 0.000526, 0.011349, 0.016214, 0.167266
4210, 0.000844, 0.016607, 0.015558, 0.159564
4220, 0.000528, 0.01105, 0.016327, 0.166871
4220, 0.000523, 0.011358, 0.015728, 0.165112
4230, 0.000529, 0.011204, 0.015751, 0.16143
4230, 0.000647, 0.011169, 0.015944, 0.155514
4240, 0.000527, 0.022986, 0.023367, 0.136526
4240, 0.000854, 0.016841, 0.015734, 0.133672
4250, 0.000529, 0.010834, 0.015924, 0.157742
4250, 0.000572, 0.011293, 0.015889, 0.169501
4260, 0.000858, 0.0167, 0.016049, 0.149919
4260, 0.000573, 0.011363, 0.016437, 0.174767
4270, 0.000843, 0.016646, 0.023362, 0.154178
4270, 0.000628, 0.196492, 0.023751, 1.49829
4280, 0.000843, 0.016716, 0.023322, 0.156969
4280, 0.000842, 0.016885, 0.023999, 0.156528
4290, 0.000845, 0.016702, 0.02194, 0.159775
4290, 0.000523, 0.011031, 0.016093, 0.167456
4300, 0.000634, 0.011366, 0.015972, 0.174917
4300, 0.000907, 0.011348, 0.015901, 0.162824
4310, 0.000534, 0.011008, 0.015712, 0.170866
