Index,Entropy
0,1.09044
1,1.03957
2,1.09914
3,1.08936
4,1.09061
5,1.08944
6,1.09921
7,1.03957
8,1.09044
9,1.03957
10,1.09933
11,1.08936
12,1.09061
13,1.08944
14,1.09921
15,1.03957
16,1.22264
17,1.48684
18,1.62746
19,1.6398
20,1.61822
21,1.63978
22,1.62743
23,1.48682
24,1.22264
25,1.48684
26,1.62746
27,1.6398
28,1.61822
29,1.63978
30,1.62743
31,1.48682
32,1.24537
33,1.64492
34,1.77254
35,1.84081
36,1.79273
37,1.84092
38,1.77259
39,1.64491
40,1.24537
41,1.64492
42,1.77254
43,1.84081
44,1.79273
45,1.84092
46,1.77259
47,1.64491
48,1.22224
49,1.67588
50,1.8591
51,1.86215
52,1.70463
53,1.86215
54,1.85902
55,1.67552
56,1.22224
57,1.67588
58,1.8591
59,1.86215
60,1.70463
61,1.86215
62,1.85902
63,1.67552
64,0.64559
65,1.61822
66,1.79265
67,1.70463
68,0.859755
69,1.70463
70,1.79265
71,1.61822
72,0.64559
73,1.61822
74,1.79265
75,1.70463
76,0.859755
77,1.70463
78,1.79265
79,1.61822
80,1.22224
81,1.67573
82,1.85916
83,1.86216
84,1.70463
85,1.86221
86,1.85908
87,1.67537
88,1.22224
89,1.67573
90,1.85916
91,1.86216
92,1.70463
93,1.86221
94,1.85908
95,1.67537
96,1.24503
97,1.64496
98,1.77262
99,1.8409
100,1.79265
101,1.84081
102,1.77268
103,1.6449
104,1.24503
105,1.64496
106,1.77262
107,1.8409
108,1.79265
109,1.84081
110,1.77268
111,1.6449
112,1.22184
113,1.48825
114,1.62746
115,1.63979
116,1.61822
117,1.63985
118,1.62752
119,1.48825
120,1.22184
121,1.48825
122,1.62746
123,1.63979
124,1.61822
125,1.63985
126,1.62752
127,1.48825
128,1.09065
129,1.03967
130,1.09906
131,1.0895
132,1.09061
133,1.08946
134,1.09913
135,1.03981
136,1.09065
137,1.03967
138,1.09925
139,1.08936
140,1.09061
141,1.08946
142,1.09913
143,1.03981
