Time step, Pipe time (min), Pipe time (max), Pipe time (ave), Rend time (min), Rend time (max), Rend time (ave), Save time (min), Save time (max), Save time (ave), Comp time (min), Comp time (max), Comp time (ave)
10, 2.9e-05, 3.9e-05, 3.40833e-05, 0.217696, 0.269769, 0.250328, 0, 0.023886, 0.00199058, 1.0575, 1.21219, 1.09865
10, 0.000638, 0.000901, 0.00074825, 0.199902, 0.475023, 0.366505, 0, 0.024322, 0.002027, 1.10453, 1.45385, 1.24612
20, 0.00088, 0.001716, 0.00103342, 0.016836, 0.197867, 0.135149, 0, 0.023347, 0.001946, 0.004904, 0.226485, 0.0896507
20, 0.00055, 0.001001, 0.000897, 0.010815, 0.200804, 0.136126, 0, 0.024122, 0.00201058, 0.004951, 0.216204, 0.0843413
30, 0.000661, 0.001025, 0.000915667, 0.011318, 0.1978, 0.126666, 0, 0.023441, 0.00195425, 0.00498, 0.210524, 0.0964521
30, 0.000528, 0.001002, 0.000853083, 0.010964, 0.19557, 0.11243, 0, 0.016206, 0.00135083, 0.005467, 0.209292, 0.0890138
40, 0.000551, 0.00103, 0.000761667, 0.011627, 0.198012, 0.111734, 0, 0.015171, 0.00126483, 0.004048, 0.209145, 0.0884703
40, 0.000532, 0.00102, 0.000771083, 0.011073, 0.205188, 0.12906, 0, 0.016205, 0.001351, 0.004241, 0.202538, 0.0791068
50, 0.000602, 0.001038, 0.000860167, 0.0109, 0.196343, 0.115931, 0, 0.015814, 0.00131833, 0.004046, 0.201995, 0.0845994
50, 0.000529, 0.001042, 0.00078125, 0.011288, 0.198056, 0.106312, 0, 0.016489, 0.00137442, 0.004143, 0.207427, 0.088938
60, 0.000543, 0.000997, 0.000738167, 0.010867, 0.193085, 0.106053, 0, 0.0159, 0.0013255, 0.003982, 0.199917, 0.0873813
60, 0.000525, 0.001401, 0.000837, 0.011333, 0.195217, 0.103165, 0, 0.015624, 0.0013025, 0.004233, 0.198509, 0.0903162
70, 0.000574, 0.001022, 0.000755083, 0.011655, 0.19774, 0.106525, 0, 0.015071, 0.00125658, 0.007746, 0.20559, 0.093651
70, 0.000531, 0.001028, 0.000736083, 0.010979, 0.197171, 0.103752, 0, 0.016132, 0.00134467, 0.004322, 0.201593, 0.0915282
80, 0.000546, 0.00106, 0.00073175, 0.011158, 0.196986, 0.109562, 0, 0.015919, 0.00132683, 0.004654, 0.205628, 0.0872485
80, 0.000525, 0.001207, 0.000753083, 0.011219, 0.191771, 0.100359, 0, 0.015751, 0.00131292, 0.004109, 0.189384, 0.0878632
90, 0.000545, 0.001019, 0.00072975, 0.011251, 0.198259, 0.105763, 0, 0.015694, 0.00130817, 0.003381, 0.206176, 0.0885224
90, 0.000599, 0.001401, 0.00082425, 0.011019, 0.196933, 0.106752, 0, 0.015681, 0.00130725, 0.004169, 0.201419, 0.0845325
100, 0.000544, 0.001012, 0.000725583, 0.01137, 0.197893, 0.113244, 0, 0.015294, 0.00127483, 0.004221, 0.204234, 0.0858852
100, 0.000526, 0.000989, 0.000798583, 0.011052, 0.196022, 0.111415, 0, 0.015725, 0.001311, 0.004388, 0.199988, 0.085975
110, 0.000546, 0.001056, 0.000771917, 0.011019, 0.198926, 0.101775, 0, 0.016132, 0.00134483, 0.004017, 0.195889, 0.0910093
110, 0.000523, 0.001024, 0.000781, 0.011073, 0.198385, 0.116679, 0, 0.017762, 0.00148083, 0.004753, 0.215027, 0.104782
120, 0.000547, 0.000981, 0.000697167, 0.011158, 0.197158, 0.103332, 0, 0.015156, 0.0012635, 0.004136, 0.209468, 0.0923547
120, 0.000526, 0.001028, 0.000762083, 0.011161, 0.195584, 0.103707, 0, 0.015244, 0.00127083, 0.004011, 0.189292, 0.0893952
130, 0.000543, 0.000965, 0.000736083, 0.011026, 0.198764, 0.108306, 0, 0.015243, 0.00127067, 0.004223, 0.202783, 0.0938183
130, 0.000527, 0.001095, 0.0007645, 0.011231, 0.199047, 0.108407, 0, 0.015562, 0.00129733, 0.004058, 0.220852, 0.112402
140, 0.000544, 0.001038, 0.000744083, 0.010973, 0.195355, 0.123279, 0, 0.020777, 0.00173192, 0.004251, 0.212526, 0.0964563
140, 0.000525, 0.000971, 0.000693917, 0.011564, 0.202249, 0.0972993, 0, 0.015604, 0.00130083, 0.003111, 0.193089, 0.0940754
150, 0.000546, 0.001031, 0.000729, 0.011207, 0.203286, 0.1013, 0, 0.015024, 0.00125258, 0.003608, 0.208905, 0.0958773
150, 0.000552, 0.001039, 0.000763583, 0.011758, 0.200095, 0.100306, 0, 0.015769, 0.00131475, 0.003673, 0.204541, 0.0927143
160, 0.000568, 0.001282, 0.000830917, 0.011097, 0.204212, 0.113737, 0, 0.015688, 0.00130792, 0.003707, 0.213189, 0.0882973
160, 0.000525, 0.001096, 0.000722333, 0.010821, 0.195762, 0.0995992, 0, 0.01545, 0.00128808, 0.00297, 0.202174, 0.0887797
170, 0.000546, 0.001063, 0.000726333, 0.010944, 0.198082, 0.0947033, 0, 0.014858, 0.0012385, 0.003217, 0.206447, 0.0927488
170, 0.000523, 0.00102, 0.000688583, 0.010924, 0.197889, 0.0997354, 0, 0.015395, 0.00128317, 0.004537, 0.204389, 0.0947932
180, 0.000545, 0.001005, 0.000731833, 0.011527, 0.198508, 0.108479, 0, 0.015007, 0.001251, 0.004649, 0.20835, 0.0902054
180, 0.000524, 0.001386, 0.00080125, 0.010992, 0.20077, 0.107408, 0, 0.024021, 0.00200392, 0.004138, 0.212619, 0.102997
190, 0.000542, 0.001007, 0.000721583, 0.010674, 0.203972, 0.116925, 0, 0.015185, 0.00126608, 0.003389, 0.222389, 0.0913716
190, 0.000526, 0.001039, 0.00079575, 0.010656, 0.188837, 0.103352, 0, 0.015891, 0.00132467, 0.003458, 0.193742, 0.0851777
200, 0.000545, 0.001017, 0.000740667, 0.0106, 0.191973, 0.103394, 0, 0.015028, 0.00125283, 0.0036, 0.198934, 0.0890936
200, 0.000528, 0.00182, 0.000871, 0.010685, 0.197555, 0.10927, 0, 0.015656, 0.00130517, 0.003494, 0.20663, 0.0874518
210, 0.000543, 0.001991, 0.000874, 0.011257, 0.167439, 0.0956902, 0, 0.015887, 0.00132433, 0.002835, 0.172681, 0.0711376
210, 0.00055, 0.001008, 0.000739333, 0.012248, 0.147808, 0.0926946, 0, 0.015569, 0.00129783, 0.003505, 0.151878, 0.0583223
220, 0.000542, 0.001014, 0.00079425, 0.011368, 0.190039, 0.0964097, 0, 0.01493, 0.00124467, 0.003956, 0.192736, 0.086105
220, 0.000525, 0.000977, 0.000686, 0.011085, 0.197519, 0.110302, 0, 0.01555, 0.00129608, 0.003617, 0.205069, 0.0866195
230, 0.000545, 0.001022, 0.000746667, 0.010805, 0.195174, 0.114806, 0, 0.016868, 0.00140617, 0.003784, 0.201142, 0.0845492
230, 0.000526, 0.001022, 0.000745083, 0.01221, 0.194783, 0.107156, 0, 0.015152, 0.00126308, 0.006497, 0.202033, 0.0871302
240, 0.000548, 0.001086, 0.00079925, 0.011058, 0.197492, 0.104714, 0, 0.016352, 0.00136333, 0.003722, 0.205691, 0.0908762
240, 0.000522, 0.001032, 0.000718833, 0.011059, 0.198248, 0.108957, 0, 0.015511, 0.00129342, 0.005547, 0.207355, 0.0928281
250, 0.00054, 0.001065, 0.000755833, 0.010935, 0.19268, 0.103824, 0, 0.015901, 0.00132567, 0.003097, 0.201413, 0.0867579
250, 0.000588, 0.001006, 0.0007785, 0.010532, 0.199199, 0.107877, 0, 0.015841, 0.00132058, 0.00278, 0.204009, 0.087217
260, 0.000542, 0.001057, 0.000738083, 0.010909, 0.171384, 0.0901928, 0, 0.014999, 0.0012505, 0.003937, 0.176794, 0.0792452
260, 0.000523, 0.001005, 0.00073225, 0.010899, 0.198348, 0.107079, 0, 0.015401, 0.00128383, 0.003798, 0.206773, 0.092439
